2022-06-13 11:30:30;0
2022-06-13 11:30:30;0
2022-06-13 11:30:30;0
2022-06-13 11:30:30;0
2022-06-13 11:30:30;0
2022-06-13 11:30:30;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:31;0
2022-06-13 11:30:32;0
2022-06-13 11:30:32;0
2022-06-13 11:30:32;0
2022-06-13 11:30:32;0
2022-06-13 11:30:32;0
2022-06-13 11:30:32;0
2022-06-13 11:30:33;0
2022-06-13 11:30:33;0
2022-06-13 11:30:33;0
2022-06-13 11:30:33;0
2022-06-13 11:30:33;0
2022-06-13 11:30:33;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:34;0
2022-06-13 11:30:35;0
2022-06-13 11:30:35;0
2022-06-13 11:30:35;0
2022-06-13 11:30:35;0
2022-06-13 11:30:35;0
2022-06-13 11:30:35;0
2022-06-13 11:30:36;0
2022-06-13 11:30:36;0
2022-06-13 11:30:36;0
2022-06-13 11:30:36;0
2022-06-13 11:30:36;0
2022-06-13 11:30:36;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:37;0
2022-06-13 11:30:38;0
2022-06-13 11:30:38;0
2022-06-13 11:30:38;0
2022-06-13 11:30:38;0
2022-06-13 11:30:38;0
2022-06-13 11:30:38;0
2022-06-13 11:30:39;0
2022-06-13 11:30:39;0
2022-06-13 11:30:39;0
2022-06-13 11:30:39;0
2022-06-13 11:30:39;0
2022-06-13 11:30:39;0
2022-06-13 11:30:40;0
2022-06-13 11:30:40;0
2022-06-13 11:30:40;0
2022-06-13 11:30:40;0
2022-06-13 11:30:40;0
2022-06-13 11:30:40;0
2022-06-13 11:30:41;0
2022-06-13 11:30:41;0
2022-06-13 11:30:41;0
2022-06-13 11:30:41;0
2022-06-13 11:30:41;0
2022-06-13 11:30:41;0
2022-06-13 11:30:42;0
2022-06-13 11:30:42;0
2022-06-13 11:30:42;0
2022-06-13 11:30:42;0
2022-06-13 11:30:42;0
2022-06-13 11:30:42;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:43;0
2022-06-13 11:30:44;0
2022-06-13 11:30:44;0
2022-06-13 11:30:44;0
2022-06-13 11:30:44;0
2022-06-13 11:30:44;0
2022-06-13 11:30:44;0
2022-06-13 11:30:45;0
2022-06-13 11:30:45;0
2022-06-13 11:30:45;0
2022-06-13 11:30:45;0
2022-06-13 11:30:45;0
2022-06-13 11:30:46;0
2022-06-13 11:30:46;0
2022-06-13 11:30:46;0
2022-06-13 11:30:46;0
2022-06-13 11:30:46;0
2022-06-13 11:30:46;0
2022-06-13 11:30:47;0
2022-06-13 11:30:47;0
2022-06-13 11:30:47;0
2022-06-13 11:30:47;0
2022-06-13 11:30:47;0
2022-06-13 11:30:47;0
2022-06-13 11:30:48;0
2022-06-13 11:30:48;0
2022-06-13 11:30:48;0
2022-06-13 11:30:48;0
2022-06-13 11:30:48;0
2022-06-13 11:30:48;0
2022-06-13 11:30:49;0
2022-06-13 11:30:49;0
2022-06-13 11:30:49;0
2022-06-13 11:30:49;0
2022-06-13 11:30:49;0
2022-06-13 11:30:49;0
2022-06-13 11:30:50;0
2022-06-13 11:30:50;0
2022-06-13 11:30:50;0
2022-06-13 11:30:50;0
2022-06-13 11:30:50;0
2022-06-13 11:30:51;0
2022-06-13 11:30:51;0
2022-06-13 11:30:51;0
2022-06-13 11:30:51;0
2022-06-13 11:30:51;0
2022-06-13 11:30:51;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:52;0
2022-06-13 11:30:53;0
2022-06-13 11:30:53;0
2022-06-13 11:30:53;0
2022-06-13 11:30:53;0
2022-06-13 11:30:53;0
2022-06-13 11:30:53;0
2022-06-13 11:30:54;0
2022-06-13 11:30:54;0
2022-06-13 11:30:54;0
2022-06-13 11:30:54;0
2022-06-13 11:30:54;0
2022-06-13 11:30:55;0
2022-06-13 11:30:55;0
2022-06-13 11:30:55;0
2022-06-13 11:30:55;0
2022-06-13 11:30:55;0
2022-06-13 11:30:55;0
2022-06-13 11:30:56;0
2022-06-13 11:30:56;0
2022-06-13 11:30:56;0
2022-06-13 11:30:56;0
2022-06-13 11:30:56;0
2022-06-13 11:30:56;0
2022-06-13 11:30:57;0
2022-06-13 11:30:57;0
2022-06-13 11:30:57;0
2022-06-13 11:30:57;0
2022-06-13 11:30:57;0
2022-06-13 11:30:57;0
2022-06-13 11:30:58;0
2022-06-13 11:30:58;0
2022-06-13 11:30:58;0
2022-06-13 11:30:58;0
2022-06-13 11:30:58;0
2022-06-13 11:30:58;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:30:59;0
2022-06-13 11:31:00;0
2022-06-13 11:31:00;0
2022-06-13 11:31:00;0
2022-06-13 11:31:00;0
2022-06-13 11:31:00;0
2022-06-13 11:31:01;0
2022-06-13 11:31:01;0
2022-06-13 11:31:01;0
2022-06-13 11:31:01;0
2022-06-13 11:31:01;0
2022-06-13 11:31:01;0
2022-06-13 11:31:02;0
2022-06-13 11:31:02;0
2022-06-13 11:31:02;0
2022-06-13 11:31:02;0
2022-06-13 11:31:02;0
2022-06-13 11:31:02;0
2022-06-13 11:31:03;0
2022-06-13 11:31:03;0
2022-06-13 11:31:03;0
2022-06-13 11:31:03;0
2022-06-13 11:31:03;0
2022-06-13 11:31:03;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:04;0
2022-06-13 11:31:05;0
2022-06-13 11:31:05;0
2022-06-13 11:31:05;0
2022-06-13 11:31:05;0
2022-06-13 11:31:05;0
2022-06-13 11:31:06;0
2022-06-13 11:31:06;0
2022-06-13 11:31:06;0
2022-06-13 11:31:06;0
2022-06-13 11:31:06;0
2022-06-13 11:31:06;0
2022-06-13 11:31:07;0
2022-06-13 11:31:07;0
2022-06-13 11:31:07;0
2022-06-13 11:31:07;0
2022-06-13 11:31:07;0
2022-06-13 11:31:07;0
2022-06-13 11:31:08;0
2022-06-13 11:31:08;0
2022-06-13 11:31:08;0
2022-06-13 11:31:08;0
2022-06-13 11:31:08;0
2022-06-13 11:31:08;0
2022-06-13 11:31:09;0
2022-06-13 11:31:09;0
2022-06-13 11:31:09;0
2022-06-13 11:31:09;0
2022-06-13 11:31:09;0
2022-06-13 11:31:09;0
2022-06-13 11:31:10;0
2022-06-13 11:31:10;0
2022-06-13 11:31:10;0
2022-06-13 11:31:10;0
2022-06-13 11:31:10;0
2022-06-13 11:31:10;0
2022-06-13 11:31:11;0
2022-06-13 11:31:11;0
2022-06-13 11:31:11;0
2022-06-13 11:31:11;0
2022-06-13 11:31:11;0
2022-06-13 11:31:11;0
2022-06-13 11:31:12;0
2022-06-13 11:31:12;0
2022-06-13 11:31:12;0
2022-06-13 11:31:12;0
2022-06-13 11:31:12;0
2022-06-13 11:31:12;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:13;0
2022-06-13 11:31:14;0
2022-06-13 11:31:14;0
2022-06-13 11:31:14;0
2022-06-13 11:31:14;0
2022-06-13 11:31:14;0
2022-06-13 11:31:14;0
2022-06-13 11:31:15;0
2022-06-13 11:31:15;0
2022-06-13 11:31:15;0
2022-06-13 11:31:15;0
2022-06-13 11:31:15;0
2022-06-13 11:31:15;0
2022-06-13 11:31:16;0
2022-06-13 11:31:16;0
2022-06-13 11:31:16;0
2022-06-13 11:31:16;0
2022-06-13 11:31:16;0
2022-06-13 11:31:16;0
2022-06-13 11:31:17;0
2022-06-13 11:31:17;0
2022-06-13 11:31:17;0
2022-06-13 11:31:17;0
2022-06-13 11:31:17;0
2022-06-13 11:31:17;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:18;0
2022-06-13 11:31:19;0
2022-06-13 11:31:19;0
2022-06-13 11:31:19;0
2022-06-13 11:31:19;0
2022-06-13 11:31:19;0
2022-06-13 11:31:19;0
2022-06-13 11:31:20;0
2022-06-13 11:31:20;0
2022-06-13 11:31:20;0
2022-06-13 11:31:20;0
2022-06-13 11:31:20;0
2022-06-13 11:31:20;0
2022-06-13 11:31:21;0
2022-06-13 11:31:21;0
2022-06-13 11:31:21;0
2022-06-13 11:31:21;0
2022-06-13 11:31:21;0
2022-06-13 11:31:22;0
2022-06-13 11:31:22;0
2022-06-13 11:31:22;0
2022-06-13 11:31:22;0
2022-06-13 11:31:22;0
2022-06-13 11:31:22;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:23;0
2022-06-13 11:31:24;0
2022-06-13 11:31:24;0
2022-06-13 11:31:24;0
2022-06-13 11:31:24;0
2022-06-13 11:31:24;0
2022-06-13 11:31:24;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:25;0
2022-06-13 11:31:26;0
2022-06-13 11:31:26;0
2022-06-13 11:31:26;0
2022-06-13 11:31:26;0
2022-06-13 11:31:26;0
2022-06-13 11:31:26;0
2022-06-13 11:31:27;0
2022-06-13 11:31:27;0
2022-06-13 11:31:27;0
2022-06-13 11:31:27;0
2022-06-13 11:31:27;0
2022-06-13 11:31:27;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:28;0
2022-06-13 11:31:29;0
2022-06-13 11:31:29;0
2022-06-13 11:31:29;0
2022-06-13 11:31:29;0
2022-06-13 11:31:29;0
2022-06-13 11:31:29;0
2022-06-13 11:31:30;0
2022-06-13 11:31:30;0
2022-06-13 11:31:30;0
2022-06-13 11:31:30;0
2022-06-13 11:31:30;0
2022-06-13 11:31:30;0
2022-06-13 11:31:31;0
2022-06-13 11:31:31;0
2022-06-13 11:31:31;0
2022-06-13 11:31:31;0
2022-06-13 11:31:31;0
2022-06-13 11:31:31;0
2022-06-13 11:31:32;0
2022-06-13 11:31:32;0
2022-06-13 11:31:32;0
2022-06-13 11:31:32;0
2022-06-13 11:31:32;0
2022-06-13 11:31:32;0
2022-06-13 11:31:33;0
2022-06-13 11:31:33;0
2022-06-13 11:31:33;0
2022-06-13 11:31:33;0
2022-06-13 11:31:33;0
2022-06-13 11:31:33;0
2022-06-13 11:31:34;0
2022-06-13 11:31:34;0
2022-06-13 11:31:34;0
2022-06-13 11:31:34;0
2022-06-13 11:31:34;0
2022-06-13 11:31:34;0
2022-06-13 11:31:35;0
2022-06-13 11:31:35;0
2022-06-13 11:31:35;0
2022-06-13 11:31:35;0
2022-06-13 11:31:35;0
2022-06-13 11:31:35;0
2022-06-13 11:31:36;0
2022-06-13 11:31:36;0
2022-06-13 11:31:36;0
2022-06-13 11:31:36;0
2022-06-13 11:31:36;0
2022-06-13 11:31:36;0
2022-06-13 11:31:37;0
2022-06-13 11:31:37;0
2022-06-13 11:31:37;0
2022-06-13 11:31:37;0
2022-06-13 11:31:37;0
2022-06-13 11:31:37;0
2022-06-13 11:31:38;0
2022-06-13 11:31:38;0
2022-06-13 11:31:38;0
2022-06-13 11:31:38;0
2022-06-13 11:31:38;0
2022-06-13 11:31:38;0
2022-06-13 11:31:39;0
2022-06-13 11:31:39;0
2022-06-13 11:31:39;0
2022-06-13 11:31:39;0
2022-06-13 11:31:39;0
2022-06-13 11:31:40;0
2022-06-13 11:31:40;0
2022-06-13 11:31:40;0
2022-06-13 11:31:40;0
2022-06-13 11:31:40;0
2022-06-13 11:31:40;0
2022-06-13 11:31:41;0
2022-06-13 11:31:41;0
2022-06-13 11:31:41;0
2022-06-13 11:31:41;0
2022-06-13 11:31:41;0
2022-06-13 11:31:42;0
2022-06-13 11:31:42;0
2022-06-13 11:31:42;0
2022-06-13 11:31:42;0
2022-06-13 11:31:42;0
2022-06-13 11:31:42;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:43;0
2022-06-13 11:31:44;0
2022-06-13 11:31:44;0
2022-06-13 11:31:44;0
2022-06-13 11:31:44;0
2022-06-13 11:31:44;0
2022-06-13 11:31:44;0
2022-06-13 11:31:45;0
2022-06-13 11:31:45;0
2022-06-13 11:31:45;0
2022-06-13 11:31:45;0
2022-06-13 11:31:45;0
2022-06-13 11:31:45;0
2022-06-13 11:31:46;0
2022-06-13 11:31:46;0
2022-06-13 11:31:46;0
2022-06-13 11:31:46;0
2022-06-13 11:31:46;0
2022-06-13 11:31:46;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:47;0
2022-06-13 11:31:48;0
2022-06-13 11:31:48;0
2022-06-13 11:31:48;0
2022-06-13 11:31:48;0
2022-06-13 11:31:48;0
2022-06-13 11:31:48;0
2022-06-13 11:31:49;0
2022-06-13 11:31:49;0
2022-06-13 11:31:49;0
2022-06-13 11:31:49;0
2022-06-13 11:31:49;0
2022-06-13 11:31:49;0
2022-06-13 11:31:50;0
2022-06-13 11:31:50;0
2022-06-13 11:31:50;0
2022-06-13 11:31:50;0
2022-06-13 11:31:50;0
2022-06-13 11:31:51;0
2022-06-13 11:31:51;0
2022-06-13 11:31:51;0
2022-06-13 11:31:51;0
2022-06-13 11:31:51;0
2022-06-13 11:31:51;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:52;0
2022-06-13 11:31:53;0
2022-06-13 11:31:53;0
2022-06-13 11:31:53;0
2022-06-13 11:31:53;0
2022-06-13 11:31:53;0
2022-06-13 11:31:54;0
2022-06-13 11:31:54;0
2022-06-13 11:31:54;0
2022-06-13 11:31:54;0
2022-06-13 11:31:54;0
2022-06-13 11:31:54;0
2022-06-13 11:31:55;0
2022-06-13 11:31:55;0
2022-06-13 11:31:55;0
2022-06-13 11:31:55;0
2022-06-13 11:31:55;0
2022-06-13 11:31:55;0
2022-06-13 11:31:56;0
2022-06-13 11:31:56;0
2022-06-13 11:31:56;0
2022-06-13 11:31:56;0
2022-06-13 11:31:56;0
2022-06-13 11:31:56;0
2022-06-13 11:31:57;0
2022-06-13 11:31:57;0
2022-06-13 11:31:57;0
2022-06-13 11:31:57;0
2022-06-13 11:31:57;0
2022-06-13 11:31:57;0
2022-06-13 11:31:58;0
2022-06-13 11:31:58;0
2022-06-13 11:31:58;0
2022-06-13 11:31:58;0
2022-06-13 11:31:58;0
2022-06-13 11:31:58;0
2022-06-13 11:31:59;0
2022-06-13 11:31:59;0
2022-06-13 11:31:59;0
2022-06-13 11:31:59;0
2022-06-13 11:31:59;0
2022-06-13 11:31:59;0
2022-06-13 11:32:00;0
2022-06-13 11:32:00;0
2022-06-13 11:32:00;0
2022-06-13 11:32:00;0
2022-06-13 11:32:00;0
2022-06-13 11:32:00;0
2022-06-13 11:32:01;0
2022-06-13 11:32:01;0
2022-06-13 11:32:01;0
2022-06-13 11:32:01;0
2022-06-13 11:32:01;0
2022-06-13 11:32:02;0
2022-06-13 11:32:02;0
2022-06-13 11:32:02;0
2022-06-13 11:32:02;0
2022-06-13 11:32:02;0
2022-06-13 11:32:02;0
2022-06-13 11:32:03;0
2022-06-13 11:32:03;0
2022-06-13 11:32:03;0
2022-06-13 11:32:03;0
2022-06-13 11:32:03;0
2022-06-13 11:32:03;0
2022-06-13 11:32:04;0
2022-06-13 11:32:04;0
2022-06-13 11:32:04;0
2022-06-13 11:32:04;0
2022-06-13 11:32:04;0
2022-06-13 11:32:04;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:05;0
2022-06-13 11:32:06;0
2022-06-13 11:32:06;0
2022-06-13 11:32:06;0
2022-06-13 11:32:06;0
2022-06-13 11:32:06;0
2022-06-13 11:32:06;0
2022-06-13 11:32:07;0
2022-06-13 11:32:07;0
2022-06-13 11:32:07;0
2022-06-13 11:32:07;0
2022-06-13 11:32:07;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:08;0
2022-06-13 11:32:09;0
2022-06-13 11:32:09;0
2022-06-13 11:32:09;0
2022-06-13 11:32:09;0
2022-06-13 11:32:09;0
2022-06-13 11:32:09;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:10;0
2022-06-13 11:32:11;0
2022-06-13 11:32:11;0
2022-06-13 11:32:11;0
2022-06-13 11:32:11;0
2022-06-13 11:32:11;0
2022-06-13 11:32:11;0
2022-06-13 11:32:12;0
2022-06-13 11:32:12;0
2022-06-13 11:32:12;0
2022-06-13 11:32:12;0
2022-06-13 11:32:12;0
2022-06-13 11:32:12;0
2022-06-13 11:32:13;0
2022-06-13 11:32:13;0
2022-06-13 11:32:13;0
2022-06-13 11:32:13;0
2022-06-13 11:32:13;0
2022-06-13 11:32:13;0
2022-06-13 11:32:14;0
2022-06-13 11:32:14;0
2022-06-13 11:32:14;0
2022-06-13 11:32:14;0
2022-06-13 11:32:14;0
2022-06-13 11:32:14;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:15;0
2022-06-13 11:32:16;0
2022-06-13 11:32:16;0
2022-06-13 11:32:16;0
2022-06-13 11:32:16;0
2022-06-13 11:32:16;0
2022-06-13 11:32:16;0
2022-06-13 11:32:17;0
2022-06-13 11:32:17;0
2022-06-13 11:32:17;0
2022-06-13 11:32:17;0
2022-06-13 11:32:17;0
2022-06-13 11:32:17;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:18;0
2022-06-13 11:32:19;0
2022-06-13 11:32:19;0
2022-06-13 11:32:19;0
2022-06-13 11:32:19;0
2022-06-13 11:32:19;0
2022-06-13 11:32:19;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:20;0
2022-06-13 11:32:21;0
2022-06-13 11:32:21;0
2022-06-13 11:32:21;0
2022-06-13 11:32:21;0
2022-06-13 11:32:21;0
2022-06-13 11:32:21;0
2022-06-13 11:32:22;0
2022-06-13 11:32:22;0
2022-06-13 11:32:22;0
2022-06-13 11:32:22;0
2022-06-13 11:32:22;0
2022-06-13 11:32:22;0
2022-06-13 11:32:23;0
2022-06-13 11:32:23;0
2022-06-13 11:32:23;0
2022-06-13 11:32:23;0
2022-06-13 11:32:23;0
2022-06-13 11:32:23;0
2022-06-13 11:32:24;0
2022-06-13 11:32:24;0
2022-06-13 11:32:24;0
2022-06-13 11:32:24;0
2022-06-13 11:32:24;0
2022-06-13 11:32:25;0
2022-06-13 11:32:25;0
2022-06-13 11:32:25;0
2022-06-13 11:32:25;0
2022-06-13 11:32:25;0
2022-06-13 11:32:25;0
2022-06-13 11:32:26;0
2022-06-13 11:32:26;0
2022-06-13 11:32:26;0
2022-06-13 11:32:26;0
2022-06-13 11:32:26;0
2022-06-13 11:32:26;0
2022-06-13 11:32:27;0
2022-06-13 11:32:27;0
2022-06-13 11:32:27;0
2022-06-13 11:32:27;0
2022-06-13 11:32:27;0
2022-06-13 11:32:27;0
2022-06-13 11:32:28;0
2022-06-13 11:32:28;0
2022-06-13 11:32:28;0
2022-06-13 11:32:28;0
2022-06-13 11:32:28;0
2022-06-13 11:32:29;0
2022-06-13 11:32:29;0
2022-06-13 11:32:29;0
2022-06-13 11:32:29;0
2022-06-13 11:32:29;0
2022-06-13 11:32:29;0
2022-06-13 11:32:30;0
2022-06-13 11:32:30;0
2022-06-13 11:32:30;0
2022-06-13 11:32:30;0
2022-06-13 11:32:30;0
2022-06-13 11:32:30;0
2022-06-13 11:32:31;0
2022-06-13 11:32:31;0
2022-06-13 11:32:31;0
2022-06-13 11:32:31;0
2022-06-13 11:32:31;0
2022-06-13 11:32:32;0
2022-06-13 11:32:32;0
2022-06-13 11:32:32;0
2022-06-13 11:32:32;0
2022-06-13 11:32:32;0
2022-06-13 11:32:32;0
2022-06-13 11:32:33;0
2022-06-13 11:32:33;0
2022-06-13 11:32:33;0
2022-06-13 11:32:33;0
2022-06-13 11:32:33;0
2022-06-13 11:32:33;0
2022-06-13 11:32:34;0
2022-06-13 11:32:34;0
2022-06-13 11:32:34;0
2022-06-13 11:32:34;0
2022-06-13 11:32:34;0
2022-06-13 11:32:34;0
2022-06-13 11:32:35;0
2022-06-13 11:32:35;0
2022-06-13 11:32:35;0
2022-06-13 11:32:35;0
2022-06-13 11:32:35;0
2022-06-13 11:32:35;0
2022-06-13 11:32:36;0
2022-06-13 11:32:36;0
2022-06-13 11:32:36;0
2022-06-13 11:32:36;0
2022-06-13 11:32:36;0
2022-06-13 11:32:37;0
2022-06-13 11:32:37;0
2022-06-13 11:32:37;0
2022-06-13 11:32:37;0
2022-06-13 11:32:37;0
2022-06-13 11:32:37;0
2022-06-13 11:32:38;0
2022-06-13 11:32:38;0
2022-06-13 11:32:38;0
2022-06-13 11:32:38;0
2022-06-13 11:32:38;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:39;0
2022-06-13 11:32:40;0
2022-06-13 11:32:40;0
2022-06-13 11:32:40;0
2022-06-13 11:32:40;0
2022-06-13 11:32:40;0
2022-06-13 11:32:40;0
2022-06-13 11:32:41;0
2022-06-13 11:32:41;0
2022-06-13 11:32:41;0
2022-06-13 11:32:41;0
2022-06-13 11:32:41;0
2022-06-13 11:32:41;0
2022-06-13 11:32:42;0
2022-06-13 11:32:42;0
2022-06-13 11:32:42;0
2022-06-13 11:32:42;0
2022-06-13 11:32:42;0
2022-06-13 11:32:42;0
2022-06-13 11:32:43;0
2022-06-13 11:32:43;0
2022-06-13 11:32:43;0
2022-06-13 11:32:43;0
2022-06-13 11:32:43;0
2022-06-13 11:32:43;0
2022-06-13 11:32:44;0
2022-06-13 11:32:44;0
2022-06-13 11:32:44;0
2022-06-13 11:32:44;0
2022-06-13 11:32:44;0
2022-06-13 11:32:44;0
2022-06-13 11:32:45;0
2022-06-13 11:32:45;0
2022-06-13 11:32:45;0
2022-06-13 11:32:45;0
2022-06-13 11:32:45;0
2022-06-13 11:32:46;0
2022-06-13 11:32:46;0
2022-06-13 11:32:46;0
2022-06-13 11:32:46;0
2022-06-13 11:32:46;0
2022-06-13 11:32:46;0
2022-06-13 11:32:47;0
2022-06-13 11:32:47;0
2022-06-13 11:32:47;0
2022-06-13 11:32:47;0
2022-06-13 11:32:47;0
2022-06-13 11:32:47;0
2022-06-13 11:32:48;0
2022-06-13 11:32:48;0
2022-06-13 11:32:48;0
2022-06-13 11:32:48;0
2022-06-13 11:32:48;0
2022-06-13 11:32:48;0
2022-06-13 11:32:49;0
2022-06-13 11:32:49;0
2022-06-13 11:32:49;0
2022-06-13 11:32:49;0
2022-06-13 11:32:49;0
2022-06-13 11:32:49;0
2022-06-13 11:32:50;0
2022-06-13 11:32:50;0
2022-06-13 11:32:50;0
2022-06-13 11:32:50;0
2022-06-13 11:32:50;0
2022-06-13 11:32:50;0
2022-06-13 11:32:51;0
2022-06-13 11:32:51;0
2022-06-13 11:32:51;0
2022-06-13 11:32:51;0
2022-06-13 11:32:51;0
2022-06-13 11:32:51;0
2022-06-13 11:32:52;0
2022-06-13 11:32:52;0
2022-06-13 11:32:52;0
2022-06-13 11:32:52;0
2022-06-13 11:32:52;0
2022-06-13 11:32:53;0
2022-06-13 11:32:53;0
2022-06-13 11:32:53;0
2022-06-13 11:32:53;0
2022-06-13 11:32:53;0
2022-06-13 11:32:53;0
2022-06-13 11:32:54;0
2022-06-13 11:32:54;0
2022-06-13 11:32:54;0
2022-06-13 11:32:54;0
2022-06-13 11:32:54;0
2022-06-13 11:32:54;0
2022-06-13 11:32:55;0
2022-06-13 11:32:55;0
2022-06-13 11:32:55;0
2022-06-13 11:32:55;0
2022-06-13 11:32:55;0
2022-06-13 11:32:55;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:56;0
2022-06-13 11:32:57;0
2022-06-13 11:32:57;0
2022-06-13 11:32:57;0
2022-06-13 11:32:57;0
2022-06-13 11:32:57;0
2022-06-13 11:32:58;0
2022-06-13 11:32:58;0
2022-06-13 11:32:58;0
2022-06-13 11:32:58;0
2022-06-13 11:32:58;0
2022-06-13 11:32:58;0
2022-06-13 11:32:59;0
2022-06-13 11:32:59;0
2022-06-13 11:32:59;0
2022-06-13 11:32:59;0
2022-06-13 11:32:59;0
2022-06-13 11:32:59;0
2022-06-13 11:33:00;0
2022-06-13 11:33:00;0
2022-06-13 11:33:00;0
2022-06-13 11:33:00;0
2022-06-13 11:33:00;0
2022-06-13 11:33:00;0
2022-06-13 11:33:01;0
2022-06-13 11:33:01;0
2022-06-13 11:33:01;0
2022-06-13 11:33:01;0
2022-06-13 11:33:01;0
2022-06-13 11:33:01;0
2022-06-13 11:33:02;0
2022-06-13 11:33:02;0
2022-06-13 11:33:02;0
2022-06-13 11:33:02;0
2022-06-13 11:33:02;0
2022-06-13 11:33:02;0
2022-06-13 11:33:03;0
2022-06-13 11:33:03;0
2022-06-13 11:33:03;0
2022-06-13 11:33:03;0
2022-06-13 11:33:03;0
2022-06-13 11:33:03;0
2022-06-13 11:33:04;0
2022-06-13 11:33:04;0
2022-06-13 11:33:04;0
2022-06-13 11:33:04;0
2022-06-13 11:33:04;0
2022-06-13 11:33:04;0
